Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
MATIAS DYCK,,Ilca 7,4,O,5,0,59,47,Central and South American Championship 2022,R9,0
JUAN PABLO CARDOZO,,Ilca 7,7,O,6,0,65,51,Central and South American Championship 2022,R9,0
PHILIPP GROCHTMANN,,Ilca 7,9,O,7,0,65,56,Central and South American Championship 2022,R9,0
JUAN IGNACIO BIAVA,,Ilca 7,11,O,8,0,84,72,Central and South American Championship 2022,R9,0
FELIPE FRAQUELLI,,Ilca 7,6,O,9,0,105,80,Central and South American Championship 2022,R9,0
RENZO SANGUINETI,,Ilca 7,35,O,10,UFD,124,89,Central and South American Championship 2022,R9,1
MATHIAS REIMER,,Ilca 7,10,O,11,0,112,97,Central and South American Championship 2022,R9,0
GUSTAVO NASCIMENTO,,Ilca 7,5,O,12,0,118,101,Central and South American Championship 2022,R9,0
ERICK CARPES,,Ilca 7,14,O,13,0,147,124,Central and South American Championship 2022,R9,0
ANDRES CLOOS,,Ilca 7,12,O,14,0,164,134,Central and South American Championship 2022,R9,0
STEFANO VIALE,,Ilca 7,16,O,15,0,159,136,Central and South American Championship 2022,R9,0
RICARDO SEGUEL LACAMARA,,Ilca 7,13,O,16,0,159,138,Central and South American Championship 2022,R9,0
MAURO PRETTO,,Ilca 7,15,O,17,0,159,140,Central and South American Championship 2022,R9,0
PEDRO LEPECKI MADUREIRA,,Ilca 7,35,O,18,DNC,186,151,Central and South American Championship 2022,R9,1
MATEO MALDONADO,,Ilca 7,17,O,19,0,182,153,Central and South American Championship 2022,R9,0
ALEJANDRO CLOOS,,Ilca 7,18,O,20,0,205,174,Central and South American Championship 2022,R9,0
MATIAS BLANCO,,Ilca 7,19,O,21,0,202,175,Central and South American Championship 2022,R9,0
SEBASTIAN LERI,,Ilca 7,20,O,22,0,218,183,Central and South American Championship 2022,R9,0
ANTONIO BONITO,,Ilca 7,21,O,23,0,216,192,Central and South American Championship 2022,R9,0
STEFANO CAIAFA,,Ilca 7,35,O,24,DNC,247,212,Central and South American Championship 2022,R9,1
JUAN MARTIN OUTEIRO,,Ilca 7,24,O,25,0,262,227,Central and South American Championship 2022,R9,0
ENRIQUE FELIU,,Ilca 7,25,O,26,0,258,227,Central and South American Championship 2022,R9,0
BRUNO GRUNWALDT,,Ilca 7,22,O,27,0,264,234,Central and South American Championship 2022,R9,0
TOMAS VARELA,,Ilca 7,26,O,28,0,280,248,Central and South American Championship 2022,R9,0
ANDRES RUVERTONI,,Ilca 7,27,O,29,0,287,252,Central and South American Championship 2022,R9,0
ARIEL ZERPA,,Ilca 7,35,O,30,DNC,289,254,Central and South American Championship 2022,R9,1
JUAN GRUNWALDT,,Ilca 7,23,O,31,0,298,263,Central and South American Championship 2022,R9,0
ARTURO MITNIK,,Ilca 7,35,O,32,DNC,298,263,Central and South American Championship 2022,R9,0
MATEO VIDAL,,Ilca 7,35,O,33,DNC,320,285,Central and South American Championship 2022,R9,0
GABRIEL MARTIN,,Ilca 7,35,O,34,DNC,326,291,Central and South American Championship 2022,R9,1
CLEMENTE SEGUEL LACAMARA,,Ilca 7,1,O,1,0,36,24,Central and South American Championship 2022,R10,0
BRUNO FONTES,,Ilca 7,3,O,2,0,37,29,Central and South American Championship 2022,R10,0
STEFANO PESCHIERA,,Ilca 7,7,O,3,0,41,33,Central and South American Championship 2022,R10,0
FRANCISCO GUARAGNA RIGONAT,,Ilca 7,6,O,4,0,42,34,Central and South American Championship 2022,R10,0
MATIAS DYCK,,Ilca 7,5,O,5,0,59,47,Central and South American Championship 2022,R10,0
JUAN PABLO CARDOZO,,Ilca 7,2,O,6,0,65,51,Central and South American Championship 2022,R10,0
PHILIPP GROCHTMANN,,Ilca 7,8,O,7,0,65,56,Central and South American Championship 2022,R10,0
JUAN IGNACIO BIAVA,,Ilca 7,4,O,8,0,84,72,Central and South American Championship 2022,R10,0
FELIPE FRAQUELLI,,Ilca 7,15,O,9,0,105,80,Central and South American Championship 2022,R10,0
RENZO SANGUINETI,,Ilca 7,9,O,10,0,124,89,Central and South American Championship 2022,R10,0
MATHIAS REIMER,,Ilca 7,10,O,11,0,112,97,Central and South American Championship 2022,R10,0
GUSTAVO NASCIMENTO,,Ilca 7,11,O,12,0,118,101,Central and South American Championship 2022,R10,0
ERICK CARPES,,Ilca 7,22,O,13,0,147,124,Central and South American Championship 2022,R10,0
ANDRES CLOOS,,Ilca 7,14,O,14,0,164,134,Central and South American Championship 2022,R10,0
STEFANO VIALE,,Ilca 7,23,O,15,0,159,136,Central and South American Championship 2022,R10,1
RICARDO SEGUEL LACAMARA,,Ilca 7,13,O,16,0,159,138,Central and South American Championship 2022,R10,0
MAURO PRETTO,,Ilca 7,18,O,17,0,159,140,Central and South American Championship 2022,R10,0
PEDRO LEPECKI MADUREIRA,,Ilca 7,17,O,18,0,186,151,Central and South American Championship 2022,R10,0
MATEO MALDONADO,,Ilca 7,12,O,19,0,182,153,Central and South American Championship 2022,R10,0
ALEJANDRO CLOOS,,Ilca 7,16,O,20,0,205,174,Central and South American Championship 2022,R10,0
MATIAS BLANCO,,Ilca 7,19,O,21,0,202,175,Central and South American Championship 2022,R10,0
SEBASTIAN LERI,,Ilca 7,20,O,22,0,218,183,Central and South American Championship 2022,R10,0
ANTONIO BONITO,,Ilca 7,21,O,23,0,216,192,Central and South American Championship 2022,R10,0
STEFANO CAIAFA,,Ilca 7,35,O,24,DNC,247,212,Central and South American Championship 2022,R10,0
JUAN MARTIN OUTEIRO,,Ilca 7,35,O,25,DNC,262,227,Central and South American Championship 2022,R10,1
ENRIQUE FELIU,,Ilca 7,24,O,26,0,258,227,Central and South American Championship 2022,R10,0
BRUNO GRUNWALDT,,Ilca 7,25,O,27,0,264,234,Central and South American Championship 2022,R10,0
TOMAS VARELA,,Ilca 7,26,O,28,0,280,248,Central and South American Championship 2022,R10,0
ANDRES RUVERTONI,,Ilca 7,35,O,29,DNC,287,252,Central and South American Championship 2022,R10,1
ARIEL ZERPA,,Ilca 7,35,O,30,DNC,289,254,Central and South American Championship 2022,R10,0
JUAN GRUNWALDT,,Ilca 7,27,O,31,0,298,263,Central and South American Championship 2022,R10,0
ARTURO MITNIK,,Ilca 7,35,O,32,DNC,298,263,Central and South American Championship 2022,R10,0
MATEO VIDAL,,Ilca 7,35,O,33,DNC,320,285,Central and South American Championship 2022,R10,0
GABRIEL MARTIN,,Ilca 7,35,O,34,DNC,326,291,Central and South American Championship 2022,R10,0
